lexeme.text();126;126;32;45;lexeme.text();library
lexeme.token();126;126;63;77;lexeme.token();library
text;138;138;24;28;text;regular
str(lexeme.text());138;138;31;49;str(VAR0.VAR1());builtin
normalization(text, defLine_src);143;143;31;63;normalization(VAR0, VAR1);regular
text.replace("}", "");146;146;35;56;text.replace(Literal, Literal);builtin
end;151;151;36;39;end;library
print(text, end="");151;151;24;43;print(VAR0, VAR1=Literal);builtin
src.write(fullText);156;156;20;39;src.write(VAR0);builtin
src.write("\n------\n");159;159;12;35;src.write(Literal);builtin
Exception;162;162;22;31;Exception;library
os.system("git checkout " + new_commit);164;164;8;47;os.system(Literal + VAR0);library
new_path;165;165;8;16;new_path;regular
understand.open(new_path);167;167;13;38;understand.open(VAR0);library
defLine_dst;170;170;12;23;defLine_dst;regular
lines_dstDef[lineNum];170;170;26;47;lines_dstDef[lineNum];library
longName_dst;172;172;12;24;longName_dst;regular
print("longName:", longName_dst);173;173;12;44;print(Literal, VAR0);builtin
longName_dst.split("\\");174;174;19;43;longName_dst.split(Literal);builtin
print(startLine_dst, endLine_dst, startCol_dst, endCol_dst);189;189;12;71;print(VAR0, VAR1, VAR2, VAR3);builtin
file.lexer().lexemes(startLine_dst, endLine_dst);193;193;30;78;file.lexer().lexemes(VAR0, VAR1);library
file.lexer().lexeme(startLine_dst, startCol_dst-1);194;194;35;85;file.lexer().lexeme(VAR0, VAR1-1);library
normalization(text, defLine_dst);226;226;31;63;normalization(VAR0, VAR1);regular
dst.write(fullText);239;239;20;39;dst.write(VAR0);builtin
dst.write("\n------\n");242;242;12;35;dst.write(Literal);builtin
src.close();246;246;8;19;src.close();builtin
dst.close();247;247;8;19;dst.close();builtin
output;10;10;8;14;output;regular
udb_path;11;11;87;95;udb_path;regular
lang;11;11;106;110;lang;library
language;11;11;111;119;language;regular
project;11;11;121;128;project;library
project_root;11;11;129;141;project_root;regular
"und create -db {udb_path} -languages {lang} add {project} analyze".format(udb_path=udb_path, lang=language, project=project_root);11;11;12;142;Literal.format(VAR0=VAR1, VAR2=VAR3, VAR4=VAR5);builtin
shell;12;12;12;17;shell;library
subprocess.check_output            "und create -db {udb_path} -languages {lang} add {project} analyze".format(udb_path=udb_path, lang=language, project=project_root),            shell=True);10;12;17;23;subprocess.check_output            Literal.format(VAR0=VAR1, VAR2=VAR3, VAR4=VAR5),            shell=True);library
logging.info(output);13;13;8;28;logging.info(VAR0);library
subprocess.CalledProcessError;14;14;11;40;subprocess.CalledProcessError;library
e.output;15;15;26;34;e.output;library
logging.exception(e.output);15;15;8;35;logging.exception(VAR0.VAR1);library
logging.fatal("udb creation failed");16;16;8;44;logging.fatal(Literal);library
Exception;17;17;14;23;Exception;library
defs;21;21;4;8;defs;regular
defline.split(";");21;21;11;29;defline.split(Literal);builtin
len(defs);22;22;7;16;len(VAR0);builtin
token;23;23;15;20;token;regular
defs[:-1];25;25;15;24;defs[:-1];library
definition;26;26;8;18;definition;library
tmps;27;27;8;12;tmps;regular
definition.split("->");27;27;15;37;definition.split(Literal);library
var;28;28;8;11;var;regular
tmps[0];28;28;14;21;tmps[0];library
replace_label;29;29;8;21;replace_label;regular
