;19;19;0;15;;regular
;28;28;4;14;;regular
;29;29;4;23;;regular
;29;29;26;32;;builtin
;30;30;4;9;;regular
;31;31;4;9;;regular
;32;32;8;11;;library
;32;32;15;31;;regular
;33;33;12;17;;library
;33;33;21;42;;library
;34;34;12;36;;builtin
;36;36;16;42;;regular
;37;37;28;53;;library
;37;37;71;86;;regular
;38;38;20;49;;builtin
;42;42;4;14;;regular
;42;42;26;54;;builtin
;42;42;56;82;;builtin
;42;42;22;83;;builtin
;42;42;17;84;;builtin
;43;43;17;70;;library
;43;43;4;71;;builtin
;44;44;37;47;;library
;44;44;4;48;;builtin
;55;55;4;11;;regular
;59;59;4;20;;regular
;61;61;8;12;;library
;61;61;16;21;;regular
;63;63;12;15;;library
;64;64;22;38;;regular
;65;65;16;22;;regular
;65;65;25;46;;library
;66;66;20;25;;library
;67;67;35;61;;library
;67;67;20;62;;builtin
;68;68;36;48;;builtin
;68;68;12;53;;builtin
;71;71;4;23;;regular
;72;72;4;28;;regular
;75;75;8;9;;library
;75;75;13;35;;builtin
;76;76;11;21;;library
;76;76;25;40;;regular
;77;77;12;41;;builtin
;78;78;8;35;;regular
;78;78;38;62;;builtin
;94;94;4;20;;regular
;96;96;8;11;;library
;96;96;15;31;;regular
;97;97;8;17;;regular
;97;97;20;41;;library
;98;98;8;24;;regular
;99;99;8;25;;regular
;101;101;11;25;;builtin
;102;102;16;21;;library
;103;103;16;23;;regular
;103;103;26;52;;library
;104;104;16;30;;regular
;104;104;33;57;;library
;106;106;30;45;;regular
;107;107;20;59;;builtin
;109;109;20;60;;builtin
;111;111;31;57;;library
;112;112;32;59;;library
;114;114;12;24;;regular
;114;114;27;50;;library
;115;115;12;25;;regular
;115;115;28;52;;library
;118;118;12;26;;regular
;119;119;27;51;;library
;123;123;11;29;;library
;124;124;37;54;;builtin
;124;124;28;55;;library
;127;127;8;19;;regular
;127;127;68;72;;library
;127;127;22;75;;library
;128;128;8;29;;regular
;137;137;14;26;;regular
;137;137;9;31;;builtin
;137;137;35;45;;library
;139;139;12;19;;library
;139;139;23;39;;regular
;140;140;12;17;;regular
;140;140;20;45;;library
;142;142;29;41;;builtin
;142;142;12;48;;library
;143;143;16;17;;library
;143;143;27;37;;builtin
;143;143;21;38;;builtin
;144;144;37;45;;library
;144;144;33;46;;builtin
;149;149;4;16;;regular
;150;150;4;17;;regular
;151;151;4;16;;regular
;154;154;4;12;;regular
;158;158;13;20;;regular
;158;158;38;45;;regular
;158;158;4;62;;library
;159;159;4;58;;library
;162;162;4;52;;library
;169;169;4;10;;regular
;169;169;28;43;;library
;169;169;44;73;;library
;169;169;75;91;;library
;169;169;13;102;;library
;170;170;36;44;;library
;170;170;51;55;;library
;170;170;4;75;;library
;177;177;4;8;;regular
;177;177;11;30;;library
;178;178;4;13;;regular
;178;178;16;27;;library
;179;179;4;13;;regular
;179;179;16;27;;library
;180;180;4;11;;regular
;180;180;14;26;;library
;181;181;4;11;;regular
;181;181;14;26;;library
;182;182;4;13;;regular
;182;182;16;30;;library
;184;184;7;28;;builtin
;187;187;7;28;;builtin
;190;190;7;30;;builtin
;194;194;4;17;;regular
;198;198;4;62;;library
;201;201;4;20;;regular
;201;201;22;23;;regular
;201;201;28;37;;regular
;201;201;39;48;;regular
;201;201;50;66;;regular
;201;201;69;129;;library
;204;204;4;14;;regular
;204;204;16;35;;regular
;204;204;38;64;;regular
;207;207;4;9;;regular
;207;207;12;68;;library
;210;210;4;11;;regular
;210;210;13;31;;regular
;210;210;33;52;;regular
;210;210;54;78;;regular
;210;210;81;138;;regular
;213;213;4;19;;regular
;213;213;167;182;;regular
;213;213;22;183;;library
;216;216;4;20;;regular
;216;216;23;99;;regular
;217;217;4;66;;regular
;219;219;4;49;;regular
;222;222;4;81;;library
;226;226;4;10;;regular
